403595947537334274,UCRQrMsgGFkV94CgoJOZliqQ
290284201310158849,UCuqp2n52QwuO-oDhn8JdGLw
161247044713840642,UCh7yaUSvxtXBlrf3tHfNHRw
193247613095641090,UCI8OCEYVtzxMi-KYJPbGpYQ
310960432909254667,UCZQPPMjQ-yAzObv_lViNqpg
323680030724980736,UCuyB4TqlCoH3R3So4FjLfag
263996286909415427,UCyIY8wI0pbgrVdCUwz2dILQ
195529549855850496,UCAQ7qfn4QLqYSHLVqpA41Hw
184056922717028352,UCgl2Oi2i2wVhAKaWtFoIeuw
225802674518360074,UCHipN-xF6zIKM3UKocaUstw
212068976883138561,UCkA4EjDFpeclwq5abtAz7pw
157900956913106944,UCKoq7IR5Y6GJGs-La1UqAfA
232618363975630849,UC_uwtmE5F4i_gfklSfhpQrw
224733285295587328,UCbyzuouzSXFjpeosiBkH7ug
176006603277860865,UCZcwEv5awNP488-4T7zuntQ
407231652373463041,UCfBA_vX3ka4U9fidwqTuyOw
261791551481446403,UCd-kesA4_EEm-vFgCbHseYw
448496216008032288,UCCJaFR_yNw0k2rVhh8_mE2w
224267581370925056,UC7dTk7z9VcaHiYmUP0ytZcg
449914409658351617,UCz6Z4vlAmetVq9GmJ-vFISA
236329367075028993,UC0QJ7ADQ_N-HLtF-0KtCpkQ
142737550921039873,UCRidxBW62QqmZC40-zV0Yhw
402750363226341377,UC002STQsYbJxYh8-uciN_4A
532605798417825794,UCjXmmcBWKs-gflTQ_y1IgyA
